year	agency	locality	industry	funding
2014	ALL	ALL	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	423407
2011	ALL	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	104940.67
2014	Dept of Health and Human Services	ALL	COMPUTER SYSTEMS DESIGN SERVICES	464156
2014	ALL	Virginia Beach	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	1773932.8
2014	ALL	Virginia Beach	ALL	81132356.26
2011	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY	200684
2011	ALL	Chesapeake	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	1007647
2013	ALL	Norfolk	FACILITIES SUPPORT SERVICES	4294877.85
2012	ALL	Chesapeake	COMPUTER SYSTEMS DESIGN SERVICES	398574
2013	ALL	ALL	OTHER MANAGEMENT CONSULTING SERVICES	159897.6
2013	Dept of Homeland Security	ALL	ENGINEERING SERVICES	543474.16
2014	Dept of Defense	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	794574.32
2011	ALL	Norfolk	COMPUTER SYSTEMS DESIGN SERVICES	558273.49
2013	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	36578319.48
2012	ALL	Norfolk	PUMP AND PUMPING EQUIPMENT MANUFACTURING	41090
2013	ALL	Virginia Beach	ELECTRONIC CONNECTOR MANUFACTURING	1347325.24
2014	Dept of Defense	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	36596717.15
2011	ALL	Hampton	CUSTOM COMPUTER PROGRAMMING SERVICES	883535
2012	ALL	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	115535
2013	ALL	ALL	ALL OTHER INFORMATION SERVICES	57726
2012	Dept of Defense	ALL	WIRED TELECOMMUNICATIONS CARRIERS	222536
2013	ALL	Suffolk	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	147587
2014	ALL	York	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	593224.33
2011	ALL	Portsmouth	ALL	5998560.07
2014	ALL	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	110056.34
2014	Dept of Defense	York	ALL	5503542.51
2013	ALL	Norfolk	OTHER COMPUTER RELATED SERVICES	383334.36
2011	ALL	ALL	REMEDIATION SERVICES	3165729.4
2012	ALL	Norfolk	ENGINEERING SERVICES	13857093.55
2013	ALL	Gloucester	ALL	328810.8
2013	Dept of Defense	ALL	SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING	107161.20
2012	Dept of Defense	ALL	COMPUTER SYSTEMS DESIGN SERVICES	1642590.96
2011	ALL	Hampton	WIRED TELECOMMUNICATIONS CARRIERS	321292
2013	ALL	ALL	ALL OTHER TELECOMMUNICATIONS	279250.9
2014	Dept of Defense	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	141488.64
2011	ALL	Norfolk	INDUSTRIAL BUILDING CONSTRUCTION	204452
2013	ALL	Newport News	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	1187928.49
2013	ALL	Suffolk	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	163485.52
2011	Dept of Defense	ALL	BOOK PUBLISHERS	138922
2013	ALL	Virginia Beach	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	2246407.76
2013	Dept of Defense	ALL	ELECTRONIC COMPUTER MANUFACTURING	153412.7
2011	ALL	Hampton	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	85085
2012	ALL	Chesapeake	ENGINEERING SERVICES	3549668.22
2012	Dept of Defense	ALL	ALL	341537425.44
2014	Dept of Veterans Affairs	Virginia Beach	ALL	163298
2012	National Aeronautics and Space Administration	ALL	OTHER COMPUTER RELATED SERVICES	1384515.13
2014	ALL	Chesapeake	SHIP BUILDING AND REPAIRING	232766696.52
2012	Dept of Health and Human Services	Chesapeake	ALL	97154.08
2014	Dept of Veterans Affairs	ALL	COMPUTER SYSTEMS DESIGN SERVICES	163298
2013	ALL	Norfolk	ARCHITECTURAL SERVICES	132104.75
2014	Dept of Defense	Newport News	ALL	76674369.87
2011	ALL	Virginia Beach	ALL OTHER SPECIALTY TRADE CONTRACTORS	60508
2014	Dept of Defense	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	601990.96
2013	ALL	ALL	FACILITIES SUPPORT SERVICES	4549577.97
2013	ALL	Virginia Beach	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	3590050.98
2014	ALL	Virginia Beach	OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION	305542.5
2014	ALL	Portsmouth	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	348305
2013	Dept of Defense	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	188241
2013	ALL	Williamsburg	ENVIRONMENTAL CONSULTING SERVICES	176601
2011	ALL	Hampton	SHIP BUILDING AND REPAIRING	48949.92
2013	ALL	Virginia Beach	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	51567.47
2011	ALL	Virginia Beach	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	892842.5
2012	Dept of Defense	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	308998.6
2012	ALL	ALL	OTHER COMPUTER RELATED SERVICES	2735493.22
2014	ALL	Newport News	ALL	76700369.87
2012	ALL	Newport News	FACILITIES SUPPORT SERVICES	380723.20
2014	ALL	Suffolk	ENGINEERING SERVICES	172372.50
2011	ALL	Virginia Beach	SPORTING AND ATHLETIC GOODS MANUFACTURING	90370.5
2011	ALL	Norfolk	OTHER COMPUTER RELATED SERVICES	366324
2013	ALL	York	ALL	28634638.79
2013	ALL	Norfolk	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	3885103.81
2012	Dept of Defense	ALL	ELECTRONIC COMPUTER MANUFACTURING	194408
2011	ALL	Newport News	ENGINEERING SERVICES	6686780
2013	ALL	York	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	363996
2012	ALL	Suffolk	ALL	1603589.81
2011	ALL	Newport News	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	4126463.21
2011	ALL	ALL	TELEPHONE APPARATUS MANUFACTURING	2268244.04
2011	ALL	Chesapeake	REMEDIATION SERVICES	552203.0
2013	ALL	Chesapeake	ALL	44464137.48
2013	ALL	ALL	ARCHITECTURAL SERVICES	221493.75
2011	Dept of Defense	ALL	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	60387.71
2011	ALL	Portsmouth	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	264057
2011	ALL	Newport News	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	5564975
2012	ALL	ALL	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	860218
2012	ALL	Newport News	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	5387459
2013	ALL	ALL	ENVIRONMENTAL CONSULTING SERVICES	353155
2014	ALL	ALL	SHIP BUILDING AND REPAIRING	2060737173.91
2014	ALL	Virginia Beach	ENGINEERING SERVICES	17578568.87
2013	ALL	Norfolk	ENGINEERING SERVICES	1084663.16
2014	ALL	ALL	FLIGHT TRAINING	4046012
2014	ALL	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	33495
2013	ALL	Portsmouth	SHIP BUILDING AND REPAIRING	56580134.47
2012	ALL	Norfolk	SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING	27122
2012	ALL	ALL	OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING	33002.71
2011	ALL	Hampton	COMPUTER SYSTEMS DESIGN SERVICES	228063.75
2014	ALL	Chesapeake	COMPUTER FACILITIES MANAGEMENT SERVICES	564489.36
2014	ALL	Suffolk	ALL	1778548.82
2014	ALL	Virginia Beach	COMPUTER SYSTEMS DESIGN SERVICES	1453016.57
